name	chinese_name	source	meaning
Ada	艾達	英國	增光；快樂的；美麗。
Aaliyah	艾莉雅	希伯來	崇高的，高尚的
Aditi	艾迪蒂	印度	宇宙的；無邊無際的
Adela	愛得拉	德國	尊貴的；優雅的。
Adelaide	愛得萊德	德國	高貴的；高貴階級的。
Adele	愛戴爾	德國	高貴的,善良的。
Adora	艾朵拉	拉丁語	受鍾愛的人。
Afra	阿芙拉	希伯來	塵土
Agatha	愛葛莎	希臘	善良而美好的
Agnes	愛葛妮絲	希臘，拉丁	純潔，高雅，貞節
Alani	艾萊妮	英國	橘子樹。
Alberta	愛爾柏塔	英國	高貴顯赫的。
Alice	愛麗絲	希臘	尊貴的，真誠的
Alma	愛瑪	拉丁，英國	真情的、和善的、舞女。
Althea	奧爾瑟雅	希臘	好預，醫治者。
Alva	阿爾娃	拉丁	白皙的。
Alexandra	亞歷珊卓	希臘	人類的保護者
Alisa	艾爾莎	英國	美麗；島名。
Alison	艾莉森	英國	高貴的；優雅的
Alyssa	艾莉莎	希臘	高貴的；優雅的
Amanda	艾曼達	拉丁	值得愛的。
Amelia	阿蜜莉雅	拉丁	勤勉的，勞動的。
Amity	艾米堤	英國	友誼。
Anila	艾尼娜	印度	微風
Amy	艾咪	法國	最心愛的人，可愛的。
Andrea	安德莉亞	希臘	有氣概，美麗而優雅
Angela	安琪拉	法國	天使；報信者，安琪兒。
Ann	安妮	希伯來	優雅的，仁慈的上帝。
Anna	安娜	希伯來	優雅
Annabelle	安娜貝兒	希伯來，拉丁	美麗的女子；可愛的；和藹可親的。
Antonia	安東妮兒	拉丁，希臘	無辭以贊，受尊崇的人。
Apphia	艾菲艾	希臘	增多；上升。
April	艾譜莉	拉丁	春天，大地初醒之時。
Arabela	愛勒貝拉	拉丁，日爾曼	美麗的祭壇，易於請求
Arlene	愛琳娜	賽爾特	誓約、信物。
Ashley	艾希莉	英語	梣樹草原。
Astrid	艾絲翠得	丹麥	神聖的力量；星星的。
Atalanta	亞特蘭特	希臘	跑得快的美麗少女。
Athena	雅典娜	希臘	希臘神話中，智能、及戰爭的女神，雅典的保護神。
Audrey	奧德莉	法國	高貴顯赫的人。
Aurora	奧蘿拉	拉丁	黎明女神
Ava	艾娃	德國	活著；呼吸
文：	中文：	來源：	涵意：
Barbara	芭芭拉	希臘	外地來的人，異鄉人。
Basia	貝莎	波蘭	神的女兒。
Bblythe	布萊茲	英國	無憂無慮的；快樂的。
Beatrice	碧翠絲	拉丁	為人祈福或使人快樂的女孩
Belen	貝琳	西班牙	伯利恆。
Bella	貝拉	拉丁	美麗的
Belle	貝拉	法國	美麗的；上帝的誓約。
Belinda	貝琳達	德國、義大利	像條蛇。有智能又長壽的人。
Bernice	柏妮絲	希臘	帶著勝利訊息來的人。
Bertha	柏莎	條頓	聰明、美麗或燦爛的。
Beryl	百麗兒	希臘	綠寶石，幸運。
Bess	貝絲	希伯來	上帝是誓約。
Betsy	貝琪	希伯來	上帝是誓約。
Betty	貝蒂	希伯來	上帝是誓約。
Beulah	比尤萊	希伯來	已結婚的。
Beverly	貝芙麗	英國	有海狸的小河。
Blanche	布蘭琪	條頓	純潔無暇的；白晰美麗的。
Bonnie	邦妮	拉丁	甜美、優雅而善良的人。
Breenda	布藍達	蓋爾	挑撥者；劍；黑髮
Brianna	布萊恩	愛爾蘭	高貴的人
Bridget	布麗姬特	蓋爾或愛爾蘭	強壯，力量
Brook	布魯克	英國	傍溪而居之人。
Calista	卡莉絲塔	拉丁	最美麗的女子
Camille	卡蜜拉	拉丁	好品性的高貴女子。
Candice	坎蒂絲	拉丁	熱情，坦誠，純潔的。
Candance	坎蒂絲	拉丁	熱情，坦誠，純潔的。
Carol	卡蘿	法國	歡唱，悅耳歡快的歌
Cara	卡拉	義大利	朋友；親愛的人。
Caroline	卡洛琳	條頓	驍勇、剛健和強壯的。
Carlin	卡琳	愛爾蘭	冠軍。
Caitlin	凱特琳	愛爾蘭	純潔的人。
Catherine	凱薩琳	希臘	純潔的人。
Cathy	凱絲	希臘	純潔的人。
Cecilia	塞西莉亞	拉丁	視力朦朧的人，失明的。
Celeste	莎莉絲特	拉丁	最幸福的人，天國的。
Charlotte	夏洛特	法國	身體強健女性化的。
Chaya	查雅	希伯來	充滿活力的。
Cheryl	綺麗兒	法國	珍愛的人，男子漢
Cherry	綺莉	法國	像櫻桃般紅潤的人。
Cheryl	綺麗兒	法國	珍愛的人，男子漢
Chloe	克洛怡	希臘	青春的，美麗的。
Christine	克莉絲汀	希臘	基督的追隨者，門徒。
Clara	克萊拉	拉丁	明亮的；聰明的。
Claire	克萊兒	拉丁	燦爛的；聰明的。
Clara	克萊拉	拉丁	明亮的；聰明的。
Clementine	克萊曼婷	拉丁	溫柔且仁慈的人。
Constance	康斯坦絲	拉丁	堅定忠實的人。
Cora	柯拉	希臘	處女；少女。
Coral	卡洛兒	希臘，法國	珊瑚或贈品，彩石。
Cornelia	可妮莉雅	希臘	山茱萸樹，號角。
Crystal	克莉斯多	希臘	晶瑩的冰，透明的靈魂。
Cynthia	辛西亞	希臘	月亮女神戴安娜的稱號。
